a=0.001,a=0.01,a=0.02,a=0.05,a=0.1,a=0.15,a=0.2
,1658.20.00,1650.00.00,1625.00.00,1583.20.00,1541.40.00,1500.00.00
1629.24.00,1548.50.00,1500.00.00,1403.09.00,1293.59.00,1210.14.00,1139.37.00
1534.23.00,1381.40.00,"0,78456",1179.20.00,1060.04.00,993.02.00,941.21.00
1417.26.00,1223.41.00,1148.07.00,1039.54.00,942.02.00,874.36.00,821.05.00
1302.17.00,1114.15.00,1045.18.00,938.47.00,849.05.00,790.39.00,744.57.00
1207.59.00,1027.40.00,962.21.00,865.26.00,779.59.00,725.26.00,683.55.00
1132.10.00,959.40.00,897.24.00,805.43.00,726.47.00,674.57.00,635.45.00
1068.18.00,903.00.00,844.14.00,757.07.00,682.42.00,634.22.00,597.08.00
1014.06.00,855.30.00,799.20.00,716.41.00,645.46.00,600.06.00,565.07.00
967.22.00,814.55.00,761.02.00,682.05.00,614.26.00,570.50.00,537.37.00
926.28.00,779.30.00,727.50.00,652.02.00,587.22.00,545.34.00,513.46.00
890.22.00,748.25.00,698.38.00,625.43.00,563.35.00,523.28.00,492.53.00
858.10.00,720.46.00,"0,40362",602.23.00,542.28.00,503.53.00,474.26.00
829.13.00,696.00.00,649.30.00,581.30.00,523.37.00,486.21.00,457.57.00
803.02.00,673.40.00,628.33.00,562.40.00,506.37.00,470.33.00,443.05.00
779.10.00,653.20.00,609.31.00,545.33.00,491.11.00,456.12.00,429.34.00
757.20.00,634.45.00,592.08.00,529.56.00,477.07.00,443.07.00,417.15.00
737.14.00,617.43.00,576.09.00,515.36.00,464.11.00,431.07.00,405.56.00
718.39.00,601.56.00,561.25.00,502.22.00,452.15.00,420.02.00,395.31.00
701.25.00,587.20.00,547.46.00,490.07.00,441.13.00,409.47.00,385.52.00
630.43.00,527.36.00,505.49.00,440.04.00,396.07.00,367.54.00,346.26.00
577.52.00,483.08.00,461.44.00,402.50.00,362.36.00,336.47.00,317.09.00
536.27.00,448.18.00,427.29.00,373.44.00,336.24.00,312.28.00,294.15.00
