index,rooms,metratura,bathrooms,floor,condominium_expenses,date,contract,typology,total_floors,availability,other_features,price,year_of_build,condition,air_conditioning,energy_efficiency,city,neighborhood,car_parking,energy_performance_building,housing units,start_end_works,current_building_use,energy_certification,co2_emissions,elevator,floor_level,heating_centralized,heating_radiator,heating_gas,air_conditiong_centralized,air_conditioning_heat
0,3,140,2,4,535,08/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,porta blindatabalconeterrazzaportiere intera giornataimpianto tv centralizzatocantinainfissi esterni in vetro / legnoesposizione doppia,880000,1900,very good / refurbished,"autonomous, cold/heat",d248.59 kwh/m² year,milano,centrale,,,,,,,,1,4,centralized,to radiators,methane powered,autonomous, cold/hot
0,4,121,2,3,200,17/02/2023,sale,apartment | entire property | stately property class,7 floors,libero,fibra otticavideocitofonoporta blindataarmadio a murobalconeportiere intera giornataimpianto tv centralizzatoinfissi esterni in doppio vetro / pvcesposizione doppia,649000,1960,very good / refurbished,system preparation,"e≥ 3,51 kwh/m² year",milano,centrale,,,,,,,,1,3,autonomous,to radiators,gas powered,system preparation,
0,2,55,1,4,133,20/02/2023,sale,attic | entire property | stately property class,4 floors,libero,caminettofibra otticavideocitofonoporta blindataesposizione esternabalconeterrazzaimpianto tv centralizzatocantinainfissi esterni in doppio vetro / pvc,300000,2006,good / habitable,"autonomous, cold/heat",e183.89 kwh/m² year,milano,viale ungheria - mecenate,1 in garage/box,,,,,,,1,4,autonomous,to radiators,gas powered,autonomous, cold/hot
0,2,60,1,5,333,11/01/2023,sale,attic | bare ownership | medium property class,5 floors,libero,cancello elettricofibra otticavideocitofonoimpianto di allarmeporta blindataterrazzaimpianto tv centralizzatoarredatocantinainfissi esterni in doppio vetro / metalloesposizione doppia,250000,1960,very good / refurbished,"autonomous, cold",f138.8 kwh/m² year,milano,città studi,,,,,,,,1,5,centralized,to radiators,methane powered,autonomous, cold
0,4,220,3,4,,23/01/2023,sale,apartment | entire property | stately property class,7 floors,libero,idromassaggiofibra otticavideocitofonoporta blindatabalconeportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in doppio vetro / pvcesposizione doppia,2250000,1970,good / habitable,"autonomous, cold/heat","g≥ 3,51 kwh/m² year",milano,piave - tricolore,1 in garage/box,winter summer,,,,,,1,4,centralized,to radiators,methane powered,autonomous, cold/hot
0,4,136,2,7,325,16/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,cancello elettricofibra otticaporta blindatabalconeportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in doppio vetro / legnoesposizione doppia,920000,1969,good / habitable,"autonomous, cold/heat",d167.86 kwh/m² year,milano,solari,1 in garage/box,winter summer,,,,,,1,7,centralized,to radiators,methane powered,autonomous, cold/hot
0,4,150,2,T,300,12/01/2023,sale,apartment | entire property | stately property class,6 floors,libero,impianto di allarmeporta blindataesposizione internaportiere intera giornataimpianto tv centralizzatoarredatocantinagiardino privatoinfissi esterni in vetro / legno,950000,1960,very good / refurbished,"autonomous, cold/heat",f272.1 kwh/m² year,milano,frua,,,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold/hot
0,2,73,1,T,83,23/02/2023,sale,apartment | entire property | medium property class,6 floors,libero,fibra otticaporta blindataesposizione internaportiere intera giornataimpianto tv centralizzatoinfissi esterni in vetro / legno,445000,1930,good / habitable,,g191.52 kwh/m² year,milano,cadore,,,,,,,,1,0,autonomous,to radiators,methane powered,,
0,4,120,3,R,208,11/01/2023,sale,apartment | entire property | medium property class,7 floors,libero,cancello elettricovideocitofonoporta blindatabalconeportiere intera giornataimpianto tv centralizzatocantinagiardino privatoinfissi esterni in doppio vetro / legnoesposizione doppia,670000,1940,very good / refurbished,"autonomous, cold",e196.05 kwh/m² year,milano,città studi,,,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold
0,3,100,1,1,350,22/02/2023,sale,apartment | entire property | medium property class,6 floors,libero,fibra otticavideocitofonoimpianto di allarmeporta blindataesposizione esternabalconeimpianto tv centralizzatoarredatocantinagiardino comuneinfissi esterni in vetro / legno,333000,1960,good / habitable,"autonomous, cold",g175 kwh/m² year,milano,primaticcio,1 in garage/box,,,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold
