index,rooms,m2,bathrooms,floor,condominium_expenses,date,contract,typology,total_floors,availability,price,year_of_build,condition,air_conditioning,energy_efficiency,neighborhood,car_parking,energy_performance_building,housing units,start_end_works,current_building_use,elevator,floor_level,heating_centralized,heating_radiator,heating_gas,air_conditiong_centralized,air_conditioning_heat,renewable_energy_performance_index_KWh/m2
0,3,140,2,4,535,08/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,880000,1900,very good / refurbished,"autonomous, cold/heat",d248.59 kwh/m² year,centrale,,,,,,1,4,centralized,to radiators,methane powered,autonomous, cold/hot,
0,4,121,2,3,200,17/02/2023,sale,apartment | entire property | stately property class,7 floors,libero,649000,1960,very good / refurbished,system preparation,"e≥ 3,51 kwh/m² year",centrale,,,,,,1,3,autonomous,to radiators,gas powered,system preparation,,
0,2,55,1,4,133,20/02/2023,sale,attic | entire property | stately property class,4 floors,libero,300000,2006,good / habitable,"autonomous, cold/heat",e183.89 kwh/m² year,viale ungheria - mecenate,1 in garage/box,,,,,1,4,autonomous,to radiators,gas powered,autonomous, cold/hot,
0,2,60,1,5,333,11/01/2023,sale,attic | bare ownership | medium property class,5 floors,libero,250000,1960,very good / refurbished,"autonomous, cold",f138.8 kwh/m² year,città studi,,,,,,1,5,centralized,to radiators,methane powered,autonomous, cold,
0,4,220,3,4,,23/01/2023,sale,apartment | entire property | stately property class,7 floors,libero,2250000,1970,good / habitable,"autonomous, cold/heat","g≥ 3,51 kwh/m² year",piave - tricolore,1 in garage/box,winter summer,,,,1,4,centralized,to radiators,methane powered,autonomous, cold/hot,351
0,4,136,2,7,325,16/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,920000,1969,good / habitable,"autonomous, cold/heat",d167.86 kwh/m² year,solari,1 in garage/box,winter summer,,,,1,7,centralized,to radiators,methane powered,autonomous, cold/hot,53
0,4,150,2,T,300,12/01/2023,sale,apartment | entire property | stately property class,6 floors,libero,950000,1960,very good / refurbished,"autonomous, cold/heat",f272.1 kwh/m² year,frua,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold/hot,
0,2,73,1,T,83,23/02/2023,sale,apartment | entire property | medium property class,6 floors,libero,445000,1930,good / habitable,,g191.52 kwh/m² year,cadore,,,,,,1,0,autonomous,to radiators,methane powered,,,
0,3 - 5,216,2,,,21/02/2023,sale - download specifications,project,6 floors,,,,,"centralized, cold/heat",a≥ 175 kwh/m² year,vincenzo monti,,,48,01/02/2022 - 30/06/2024,,0,,centralized,On the floor,powered by heat pump,centralized, cold/hot,
0,4,120,3,R,208,11/01/2023,sale,apartment | entire property | medium property class,7 floors,libero,670000,1940,very good / refurbished,"autonomous, cold",e196.05 kwh/m² year,città studi,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold,
0,3,100,1,1,350,22/02/2023,sale,apartment | entire property | medium property class,6 floors,libero,333000,1960,good / habitable,"autonomous, cold",g175 kwh/m² year,primaticcio,1 in garage/box,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold,
0,4,133,2,3,250,15/02/2023,sale,apartment | entire property | medium property class,10 floors,libero,660000,1950,very good / refurbished,,g319.19 kwh/m² year,argonne - corsica,1 in garage/box,,,,,1,3,centralized,by air,powered by district heating,,,
0,3,145,2,4,200,10/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,940000,1940,very good / refurbished,"autonomous, cold/heat","e≥ 3,51 kwh/m² year",parco trotter,1 in garage/box,,,,,1,4,centralized,to radiators,gas powered,autonomous, cold/hot,
0,3,105,1,2,200,17/02/2023,sale,apartment | entire property | stately property class,5 floors,,449000,1960,to be restructured,"autonomous, cold/heat",g≥ 175 kwh/m² year,città studi,,,,,,1,2,centralized,to radiators,methane powered,autonomous, cold/hot,
