metratura,price
140,880000
121,649000
55,300000
60,250000
220,2250000
136,920000
150,950000
73,445000
120,670000
100,333000
133,660000
145,940000
105,449000
110,858000
122,465000
183,1310000
175,1300000
120,595000
130,795000
55,420000
140,1420000
273,1650000
40,189000
40,420000
60,355000
87,620000
170,890000
160,795000
125,699000
150,960000
537,1900000
315,760000
180,640000
95,680000
70,370000
45,285000
250,2250000
75,359000
55,385000
240,1980000
70,380000
130,580000
50,175000
61,245000
150,730000
110,510000
185,1980000
115,915000
90,219000
174,990000
93,375000
75,219000
145,1180000
103,265000
50,420000
55,184000
150,1030000
80,360000
145,890000
110,580000
80,348000
95,359000
120,575000
160,550000
109,590000
240,3000000
73,390000
90,525000
130,620000
195,1650000
240,1980000
173,1120000
160,950000
70,465000
60,368000
479,2350000
80,495000
104,1190000
60,329000
110,420000
140,510000
90,370000
60,210000
158,1290000
124,485000
58,235000
70,520000
80,408000
161,980000
90,698000
200,1570000
89,750000
100,465000
50,328000
115,355000
80,325000
66,285000
157,890000
95,595000
104,660000
190,1650000
25,250000
170,1360000
140,870000
91,395000
102,360000
120,429000
75,430000
95,615000
181,1250000
200,1240000
195,1650000
49,319000
150,990000
110,510000
50,270000
110,510000
140,580000
95,680000
220,1850000
110,599000
145,795000
25,160000
115,1090000
85,389000
115,428000
100,470000
90,349000
140,1195000
152,980000
114,1280000
145,849000
165,1140000
18,135000
81,305000
400,2000000
141,1380000
14,155000
250,2590000
274,1820000
226,2200000
85,450000
115,610000
130,1295000
212,1640000
70,610000
125,445000
130,720000
135,995000
80,470000
135,1150000
97,720000
98,412000
242,1495000
47,550000
68,275000
162,545000
80,550000
80,340000
105,355000
120,349000
235,2500000
160,1388000
131,795000
77,520000
48,205000
90,290000
50,440000
70,240000
224,1850000
220,1800000
205,1290000
126,500000
60,429000
71,365000
130,800000
50,355000
150,1345000
77,545000
125,1460000
73,269000
47,270000
98,520000
151,1190000
64,215000
80,440000
70,495000
350,1980000
60,249000
77,790000
67,329000
188,1120000
326,1750000
150,1590000
98,720000
160,890000
90,565000
160,1750000
80,361000
135,1150000
65,840000
74,349000
145,1025000
75,660000
79,495000
80,450000
120,750000
70,440000
60,290000
78,419000
124,539000
125,850000
50,175000
120,430000
150,1485000
95,565000
131,465000
55,190000
280,3000000
127,850000
91,670000
69,565000
53,360000
84,290000
96,695000
73,279000
50,250000
90,370000
91,549000
100,410000
130,530000
36,135000
150,845000
220,2300000
120,345000
124,545000
136,595000
130,595000
130,1097000
50,275000
115,980000
108,560000
188,590000
97,495000
83,335000
82,415000
148,812000
70,550000
91,420000
140,730000
111,415000
95,495000
440,2300000
68,494158
45,295000
80,310000
45,159000
90,560000
122,480000
63,284000
195,2450000
130,1060000
127,580000
180,1590000
80,445000
95,310000
134,780000
144,576000
25,285000
32,130000
388,1200000
230,1450000
